timestamp,event,points,candidate,impacted
2026-06-03 18:35:02,Allererste Rose bei jeder Nacht der Rosen,Vivien,1,"Anja, Josefine, Marie, Mert, Anne"
2026-06-03 18:35:19,Allererste Rose bei jeder Nacht der Rosen,Katalina,1,"Anja, Josefine, Marie, Julian, Mert"
2026-06-03 18:35:28,Letzte Rose bei jeder Nacht der Rosen,Kim,1,"Anja, Mert"
2026-06-03 18:35:55,Letzte Rose bei jeder Nacht der Rosen,Janette,1,"Josefine, Julian"
2026-06-03 18:36:37,Rumgeheule,Michelle,1,Josefine
2026-06-03 18:36:51,Rumgeheule,Paulina,1,"Anja, Mert"
2026-06-03 18:36:59,Rumgeheule,Kim,1,"Anja, Mert"
2026-06-03 18:37:07,Rumgeheule,Nadja,1,"Anja, Josefine, Marie, Julian, Anne"
2026-06-03 18:37:17,Rumgeheule,Katarina,1,Anne
2026-06-03 18:37:35,Rumgeheule,Janette,1,"Josefine, Julian"
2026-06-03 18:37:44,Rumgeheule,Nadja,1,"Anja, Josefine, Marie, Julian, Anne"
2026-06-03 18:37:56,Rumgeheule,Chiara,1,Anne
2026-06-03 18:38:05,Rumgeheule,Kim,1,"Anja, Mert"
2026-06-03 18:38:14,Rumgeheule,Vivien,1,"Anja, Josefine, Marie, Mert, Anne"
2026-06-03 18:38:20,Rumgeheule,Vivien,1,"Anja, Josefine, Marie, Mert, Anne"
2026-06-03 18:38:54,Runde weiter,Katalina,1,"Anja, Josefine, Marie, Julian, Mert"
2026-06-03 18:39:11,Runde weiter,Josi,1,"Anja, Julian"
2026-06-03 18:39:18,Runde weiter,Nadja,1,"Anja, Josefine, Marie, Julian, Anne"
2026-06-03 18:39:24,Runde weiter,Paulina,1,"Anja, Mert"
2026-06-03 18:39:30,Runde weiter,Kim,1,"Anja, Mert"
2026-06-03 18:39:38,Runde weiter,Vivien,1,"Anja, Josefine, Marie, Mert, Anne"
2026-06-03 18:39:43,Runde weiter,Janette,1,"Josefine, Julian"
2026-06-03 18:39:49,Runde weiter,Michelle,1,Josefine
2026-06-03 18:39:54,Runde weiter,Yana,1,"Josefine, Marie, Mert, Anne"
2026-06-03 18:40:04,Runde weiter,Natalie,1,Marie
2026-06-03 18:40:11,Runde weiter,Katarina,1,Anne
2026-06-03 18:40:17,Runde weiter,Julia,1,
2026-06-03 18:40:22,Runde weiter,Lia,1,"Julian, Mert, Anne"
2026-06-03 18:40:28,Runde weiter,Chiara,1,Anne
